year,airport,IATA,state,country,"totalpassengers"
2016,Amsterdam Airport Schiphol,AMS,North Holland,The Netherlands,63625534
2015,Amsterdam Airport Schiphol,AMS,North Holland,The Netherlands,58284864
2014,Amsterdam Airport Schiphol,AMS,North Holland,The Netherlands,54978023
2013,Amsterdam Schiphol Airport,AMS,North Holland,Netherlands,52569250
2012,Amsterdam Schiphol Airport,AMS,North Holland,Netherlands,51035590
2011,Amsterdam Schiphol Airport,AMS,North Holland,Netherlands,49755252
2010,Amsterdam Airport Schiphol,AMS,North Holland,Netherlands,45211749
2016,Hartsfield Jackson Atlanta International Airport,ATL,Georgia,United States,104171935
2015,Hartsfield Jackson Atlanta International Airport,ATL,Georgia,United States,101491106
2014,Hartsfield Jackson Atlanta International Airport,ATL,Georgia,United States,96178899
2013,Hartsfield Jackson Atlanta International Airport,ATL,Georgia,United States,94430785
2012,Hartsfield Jackson Atlanta International Airport,ATL,Georgia,United States,94956643
2011,Hartsfield Jackson Atlanta International Airport,ATL,Georgia,United States,92389023
2010,Hartsfield Jackson Atlanta International Airport,ATL,Georgia,United States,89331622
2016,Barcelona El Prat Airport,BCN,Barcelona,Spain,44131031
2015,Barcelona El Prat Airport,BCN,Barcelona,Spain,39674095
2014,Barcelona El Prat Airport,BCN,Barcelona,Spain,37540326
2013,Barcelona El Prat Airport,BCN,Barcelona,Spain,35210735
2012,Barcelona Airport,BCN,Barcelona,Spain,35131771
2011,Barcelona Airport,BCN,Barcelona,Spain,34387597
2010,Barcelona Airport,BCN,Barcelona,Spain,29197135
2016,Suvarnabhumi Airport,BKK,Samut Prakan,Thailand,55892428
2015,Suvarnabhumi Airport,BKK,Samut Prakan,Thailand,52808013
2014,Suvarnabhumi Airport,BKK,Samut Prakan,Thailand,46423352
2013,Suvarnabhumi Airport,BKK,Samut Prakan,Thailand,51363451
2012,Suvarnabhumi Airport,BKK,Samut Prakan,Thailand,53002328
2011,Suvarnabhumi Airport,BKK,Samut Prakan,Thailand,47910904
2010,Suvarnabhumi Airport,BKK,Samut Prakan,Thailand,42784967
2016,Chhatrapati Shivaji International Airport,BOM,Maharashtra,India,44680555
2015,Chhatrapati Shivaji International Airport,BOM,Maharashtra,India,40637377
2014,Chhatrapati Shivaji International Airport,BOM,Maharashtra,India,34993738
2013,Chhatrapati Shivaji International Airport,BOM,Maharashtra,India,31940026
2012,Chhatrapati Shivaji International Airport,BOM,Maharashtra,India,30038696
2011,Chhatrapati Shivaji International Airport,BOM,Maharashtra,India,30439122
2010,Chhatrapati Shivaji International Airport,BOM,Maharashtra,India,28137797
2011,Logan International Airport,BOS,Massachusetts,United States,28866313
2010,Logan International Airport,BOS,Massachusetts,United States,27429152
2016,Guangzhou Baiyun International Airport,CAN,Guangdong,China,59732147
2015,Guangzhou Baiyun International Airport,CAN,Guangdong,China,55201915
2014,Guangzhou Baiyun International Airport,CAN,Guangdong,China,54780346
2013,Guangzhou Baiyun International Airport,CAN,Guangdong,China,52450262
2012,Guangzhou Baiyun International Airport,CAN,Guangdong,China,48548430
